"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","max","min","NUM_COLLISIONS"
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,50.3,47.3,57,48,0.691529709228824
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,45,29.9,53.1,39.9,0.804045512010114
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,35.6,13.6,44.1,28.9,0.70417193426043
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,36.1,13.5,46.9,30,0.767383059418458
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,24.1,46.9,32,0.65865992414665
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,33,20,37.9,28.9,0.538558786346397
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.1,14.1,36,28,0.787610619469027
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,36,32.2,43,30.2,0.706700379266751
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,38.5,18.9,45,32,0.6826801517067
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,35.7,16,43,30.9,0.642225031605563
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,34,13.9,41,28,0.763590391908976
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.4,17.6,46,32,0.616940581542351
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,18.2,46.9,33.1,0.570164348925411
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.3,27.7,41,36,0.629582806573957
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,42.2,27.3,53.1,37,0.537294563843236
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,43.8,22.7,51.1,36,0.557522123893805
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,43.3,27.8,51.1,37,0.694058154235145
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,46.7,26.4,55,39.9,0.657395701643489
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,48,24.5,59,39.9,0.648546144121365
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,49.3,29.7,54,44.1,0.538558786346397
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.3,40.8,62.1,44.1,0.605562579013906
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38,10.9,46.9,33.1,0.552465233881163
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.4,9.5,46,33.1,0.672566371681416
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.9,16.4,53.1,33.1,0.715549936788875
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49,22.3,64,41,0.735777496839444
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,43.1,13.2,53.1,35.1,0.671302149178255
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.2,31,54,39.9,0.570164348925411
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,59,40.8,73,51.1,0.735777496839444
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,65.7,42.7,82,51.1,0.774968394437421
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,65.1,45.9,75.9,55,0.733249051833123
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.2,50.1,60.1,48.2,0.653603034134008
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,44.2,38.8,48.9,41,0.820480404551201
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,46.5,36.8,57.9,41,0.701643489254109
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,52.3,30.4,57,46.9,0.596713021491783
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.9,27,59,44.1,0.762326169405815
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,53.9,43.9,63,46.9,0.713021491782554
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,62.7,45.3,71.1,55,0.676359039190898
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,55.3,39.9,64,51.1,0.699115044247788
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,60.8,55,71.1,54,0.720606826801517
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,55.5,38,66,50,0.672566371681416
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46,20.5,55,37,0.595448798988622
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.6,29.9,55,41,0.714285714285714
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,45.4,34.5,53.1,41,0.648546144121365
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,52.9,41.1,69.1,44.1,0.756005056890013
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,56.1,31.5,66,46,0.737041719342604
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,57.3,29.4,66.9,50,0.853350189633375
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,57.8,27.8,70,48,0.653603034134008
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,58.9,31.1,69.1,51.1,0.556257901390645
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,55,44,57,53.1,0.756005056890013
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,57.7,38.2,68,51.1,0.72819216182048
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57,32.7,69.1,46.9,0.72819216182048
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58.9,41.2,72,48.9,0.739570164348925
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,56.6,37.9,66,51.1,0.867256637168142
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,54.7,41.4,69.1,48,0.733249051833123
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,52.1,38.7,63,46.9,0.651074589127686
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,55.4,44.7,69.1,46,0.709228824273072
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,60.9,50.8,73.9,52,0.748419721871049
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,60.3,56.6,66,57,0.783817951959545
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58.9,54.2,68,54,0.761061946902655
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,66.9,54,79,59,0.882427307206068
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,64.4,60.1,70,61,0.661188369152971
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,62.6,45.3,70,57,0.666245259165613
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,51.7,26.7,59,46,0.729456384323641
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51.1,27.2,61,42.1,0.714285714285714
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,58,39.9,66.9,52,0.672566371681416
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,69.5,51,79,62.1,0.706700379266751
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,66.4,40.2,72,57.9,0.936788874841972
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,61,46.6,66.9,55.9,0.639696586599241
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,57.3,53.4,60.1,55,0.687737041719343
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,65,60,77,57.2,0.830594184576485
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,75.9,65.2,86,68,0.881163084702908
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,71,63.4,81,59,0.720606826801517
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,71.5,66.2,80.1,66,0.929203539823009
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,59.6,57,66.2,46.9,0.844500632111252
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,48.1,41.7,53.1,44.6,0.649810366624526
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,55.5,35.6,66,48,0.575221238938053
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,61.7,34.9,73,51.1,0.530973451327434
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,61.1,47.1,66.9,55.4,0.867256637168142
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,66.9,60.6,82,57.9,0.725663716814159
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,81,63.4,90,72,0.865992414664981
"150",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,83,63.4,90,75,0.930467762326169
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,80.8,64.1,90,73.9,0.797724399494311
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.1,65.9,88,73,0.615676359039191
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.2,67.3,82,68,0.893805309734513
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,66.1,45.6,75,57,0.774968394437421
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,66,41.7,73.9,57.9,0.757269279393173
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,63.8,53.8,70,59,0.764854614412137
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,61.5,59.4,64,59,1
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,64.9,58.9,77,57,0.721871049304678
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,71.7,57.6,80.1,63,0.673830594184576
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,67.7,62.1,75,64,0.788874841972187
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,69.6,63.6,78.1,62.1,0.802781289506953
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,70.9,53.2,75.9,64.9,0.777496839443742
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,65.7,55.6,73.9,60.1,0.675094816687737
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,59.9,53.8,72,53.1,0.876106194690266
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,69.4,52,80.1,61,0.753476611883692
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.8,53.8,80.1,64.9,0.603034134007585
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,75.3,63.4,84,69.1,0.776232616940582
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,72.8,63.8,84,64.9,0.774968394437421
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,67.4,54.4,77,59,0.786346396965866
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,69.6,52.4,80.1,62.1,0.860935524652339
"171",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,71.6,51.6,82,64,0.872313527180784
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,72.4,54,84,64.9,0.757269279393173
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,76.1,62.6,88,70,0.638432364096081
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,80.6,68.1,90,73.4,0.859671302149178
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,80.9,64.9,91,73,0.81921618204804
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,79.4,65.6,84.9,73.9,0.785082174462705
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,78.1,68.7,86,73.9,0.756005056890013
"178",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,77.1,69.4,84.9,73,0.768647281921618
"179",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,76.2,65.9,82.9,71.1,0.747155499367889
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,77.5,70.8,84,73.9,0.534766118836915
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,74.2,71,77,72,0.800252844500632
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,75.6,71.7,82,72,0.759797724399494
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,76,71.4,82.9,73,0.802781289506953
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,79.5,72.8,87.1,75,0.553729456384324
"185",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,82.3,70.7,90,75.9,0.72819216182048
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,84.6,70.1,91.9,78.1,0.652338811630847
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,85.6,70.7,91.9,80.1,0.600505689001264
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,81.3,65.8,89.1,73,0.780025284450063
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,78.8,67.2,88,73.9,0.737041719342604
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,79.4,70.5,84.9,73.9,0.776232616940582
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,80.6,68.7,84,75.9,0.695322376738306
"192",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,75,62.6,82,72,0.757269279393173
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,72.2,68.9,81,66.9,0.72692793931732
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.3,71.5,88,73.4,0.595448798988622
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,85.3,69.7,93.9,78.1,0.734513274336283
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,85.9,66.3,93.9,77,0.735777496839444
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,86.7,66.3,97,79,0.769911504424779
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,88.2,68.6,98.1,81,0.804045512010114
"199",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,89.1,72.1,96.1,82.9,0.881163084702908
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,86.7,70.1,93,81,0.696586599241466
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,82.3,63.7,89.1,78.1,0.565107458912769
